N,d1_max_mi,d2_max_joint_mi,tvla_cond_max_t,tvla_fixed_max_t,mi_power_max_stage,mi_power_max_bit
1000,0.269736,0.712602,1.867984,1.000000,2.240859,0.005725
2000,0.122601,0.371675,2.564132,11.545268,1.588108,0.000000
5000,0.049291,0.125955,1.000000,18.273364,0.818095,0.000351
10000,0.024415,0.067925,1.000000,1.000000,0.448684,0.000000
