stage_offset,mi_hd_vs_secret_bits
0,0.000016
1,0.000716
2,0.207350
3,0.000016
4,0.000016
5,0.000016
6,0.000016
7,0.000016
8,0.000016
9,0.000016
10,0.000016
11,0.000716
12,0.354862
13,0.000716
14,0.000016
-1,0.042859
