N,single_plugin,single_mm,joint_plugin,joint_mm,t_cond,t_fixed,fixed_group,bit_plugin,bit_mm
1000,0.2559852828849566,0.07492705525339166,1.2367143768356565,0.6935396939409618,0.6297951067245763,0.22449478187328425,6,0.014857000586954916,0.005479482821176652
2000,0.1309426172806859,0.03897080842401447,1.118167161905041,0.8422517353350267,0.9632895763316544,0.32105067868611364,8,0.00793875800111851,0.0032499991182293785
5000,0.04270594329954347,0.005917219756874897,1.0411992482785883,0.9308330776505827,0.23402322685851784,0.5487987123997837,15,0.003027597163441577,0.0008635546021081319
10000,0.021900255798167304,0.0035058940268330174,1.0208496747694504,0.9656665894554476,0.9171913824729243,0.34843009964948257,32,0.0017230044970187068,0.0006409832163519842
