stage_offset,t_conditional,t_fixed_vs_random
0,0.000000,0.000000
1,1.000000,-1.000000
2,0.351812,0.871043
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,1.000000,-1.000000
12,-0.192961,0.301824
13,-1.000000,1.000000
14,0.000000,0.000000
