bit_index,mi_plugin,mi_mm_corrected,null_p99
0,0.000914,0.000265,0.000000
1,0.000780,0.000131,0.000000
2,0.000423,0.000000,0.000000
3,0.001282,0.000632,0.000000
4,0.000662,0.000013,0.000000
5,0.000933,0.000284,0.000000
6,0.000823,0.000174,0.000000
7,0.000506,0.000000,0.000000
