N,single_plugin,single_mm,joint_plugin,joint_mm,t_cond,t_fixed,fixed_group,bit_plugin,bit_mm
1000,0.26009666055220293,0.07831708540019353,0.7098745464595768,0.16453582100354858,0.03782461422020607,0.5457474104639528,4,0.023251801820193832,0.012431589013526605
2000,0.1238590333840892,0.03188722452741777,0.37450748830750036,0.09859206173748608,0.46652089765059734,0.35793836616598523,6,0.010446203694427123,0.004314749770649028
5000,0.04412652357238196,0.00733780002971339,0.13788743356232058,0.02752126293431488,0.5997315911191256,1.494287480425848,18,0.004234794538361913,0.0017822129688506755
10000,0.02474887358959478,0.006354511818260494,0.06576624707777007,0.010583161763767217,1.2311333046175366,0.09190868087318216,39,0.0016690787873400155,0.00037065325053994825
