bit_index,mi_plugin,mi_mm_corrected,null_p99
0,0.001519,0.000221,0.000000
1,0.001639,0.000341,0.000000
2,0.001299,0.000001,0.000000
3,0.001464,0.000166,0.000000
4,0.001669,0.000371,0.000000
5,0.001602,0.000304,0.000000
6,0.001434,0.000135,0.000000
7,0.001541,0.000242,0.000000
